performance_score,avg_training_score,training_efficiency,previous_year_rating,experience_ratio,awards_won?,age,recruitment_channel_sourcing,gender,education,joining_age,department_Sales & Marketing,length_of_service,no_of_trainings,training_frequency,department_Operations,department_Technology,department_Procurement,department_Legal,department_Finance,is_promoted
245.0,49,49.0,5.0,0.229,0,35,1,0,2,27,1,8,1,0.111,0,0,0,0,0,0
300.0,60,60.0,5.0,0.133,0,30,0,1,1,26,0,4,1,0.2,1,0,0,0,0,0
150.0,50,50.0,3.0,0.206,0,34,1,1,1,27,1,7,1,0.125,0,0,0,0,0,0
50.0,50,25.0,1.0,0.256,0,39,0,1,1,29,1,10,2,0.182,0,0,0,0,0,0
219.0,73,73.0,3.0,0.044,0,45,0,1,1,43,0,2,1,0.333,0,1,0,0,0,0
255.0,85,42.5,3.0,0.226,0,31,1,1,1,24,0,7,2,0.25,0,0,0,0,0,0
177.0,59,59.0,3.0,0.161,0,31,0,0,1,26,0,5,1,0.167,1,0,0,0,0,0
189.0,63,63.0,3.0,0.182,0,33,1,1,2,27,0,6,1,0.143,1,0,0,0,0,0
332.0,83,83.0,4.0,0.179,0,28,0,1,1,23,0,5,1,0.167,0,0,0,0,0,0
270.0,54,54.0,5.0,0.156,0,32,1,1,2,27,1,5,1,0.167,0,0,0,0,0,0
0.0,77,77.0,0.0,0.033,0,30,1,1,1,29,0,1,1,0.5,0,1,0,0,0,0
250.0,50,50.0,5.0,0.086,0,35,1,0,1,32,1,3,1,0.25,0,0,0,0,0,1
245.0,49,49.0,5.0,0.102,0,49,1,1,1,44,1,5,1,0.167,0,0,0,0,0,0
240.0,80,40.0,3.0,0.41,0,39,0,1,2,23,0,16,2,0.118,0,1,0,0,0,0
252.0,84,84.0,3.0,0.189,0,37,1,1,2,30,0,7,1,0.125,0,0,0,0,0,0
60.0,60,60.0,1.0,0.27,0,37,0,1,1,27,0,10,1,0.091,1,0,0,0,0,0
231.0,77,77.0,3.0,0.132,0,38,0,1,1,33,0,5,1,0.167,0,1,0,0,0,0
51.0,51,51.0,1.0,0.118,0,34,0,1,1,30,1,4,1,0.2,0,0,0,0,0,0
230.0,46,46.0,5.0,0.235,0,34,0,1,1,26,1,8,1,0.111,0,0,0,0,0,0
177.0,59,59.0,3.0,0.243,0,37,0,1,1,28,0,9,1,0.1,1,0,0,0,0,0
225.0,75,75.0,3.0,0.2,0,35,0,1,1,28,0,7,1,0.125,0,0,1,0,0,0
228.0,57,57.0,4.0,0.268,0,41,1,1,1,30,0,11,1,0.083,1,0,0,0,0,0
189.0,63,63.0,3.0,0.143,0,28,0,0,1,24,0,4,1,0.2,0,0,0,0,1,0
0.0,70,70.0,0.0,0.037,0,27,0,1,1,26,0,1,1,0.5,0,0,1,0,0,0
295.0,59,29.5,5.0,0.179,0,39,1,1,2,32,0,7,2,0.25,0,0,0,0,1,0
415.0,83,83.0,5.0,0.111,0,27,0,1,1,24,0,3,1,0.25,0,1,0,0,0,0
340.0,68,68.0,5.0,0.129,0,31,0,1,1,27,0,4,1,0.2,0,0,1,0,0,0
316.0,79,79.0,4.0,0.121,0,33,0,1,1,29,0,4,1,0.2,0,1,0,0,0,0
400.0,80,80.0,5.0,0.103,0,29,0,1,1,26,0,3,1,0.25,0,0,0,0,0,0
0.0,44,44.0,0.0,0.038,0,26,1,1,1,25,1,1,1,0.5,0,0,0,0,0,0
360.0,72,72.0,5.0,0.27,0,37,1,1,1,27,0,10,1,0.091,0,0,1,0,0,0
61.0,61,30.5,1.0,0.077,0,26,0,1,1,24,0,2,2,0.667,0,0,0,0,1,0
48.0,48,48.0,1.0,0.083,0,24,1,0,1,22,1,2,1,0.333,0,0,0,0,0,0
232.0,58,29.0,4.0,0.105,0,57,1,1,1,51,0,6,2,0.286,1,0,0,0,0,0
435.0,87,43.5,5.0,0.111,0,27,0,1,1,24,0,3,2,0.5,0,0,0,0,0,0
94.0,47,47.0,2.0,0.1,0,40,0,1,1,36,1,4,1,0.2,0,0,0,0,0,0
300.0,75,75.0,4.0,0.121,0,33,1,1,1,29,0,4,1,0.2,0,1,0,0,0,0
235.0,47,47.0,5.0,0.075,0,40,1,0,1,37,1,3,1,0.25,0,0,0,0,0,0
255.0,51,51.0,5.0,0.119,0,42,0,1,2,37,1,5,1,0.167,0,0,0,0,0,0
255.0,51,51.0,5.0,0.182,0,33,1,1,1,27,1,6,1,0.143,0,0,0,0,0,1
